Component,Class,Uses Color-Mix for Borders,Uses Color-Mix for Backgrounds/Fills,Uses Color-Mix for Shadows/Decorative,Uses Opacity,Risk Level,Notes
Link,.link-accent,No,No,No,None,High,Text color changes on hover - 80%/20% mix
Link,.link-neutral,No,No,No,None,High,Text color changes on hover - 80%/20% mix
Link,.link-success,No,No,No,None,High,Text color changes on hover - 80%/20% mix
Link,.link-info,No,No,No,None,High,Text color changes on hover - 80%/20% mix
Link,.link-warning,No,No,No,None,High,Text color changes on hover - 80%/20% mix
Link,.link-error,No,No,No,None,High,Text color changes on hover - 80%/20% mix
List,,No,No,No,None,None,No accessibility concerns
Loading,,No,No,No,Various opacity in SVG,Low,Loading spinner animations - decorative
Mask,,No,No,No,None,None,No accessibility concerns
Menu,.menu (hover),No,No,No,bg-base-content/10,Low,Menu hover background - decorative
Menu,.menu-disabled,No,No,No,text-base-content/20,High,Disabled menu text - 20% opacity affects readability
Menu,.menu-title,No,No,No,text-base-content/40,Medium,Menu section titles - 40% opacity may reduce readability
Mockup Browser,,No,No,No,opacity-30 + opacity-50,Low,Mockup decorative elements
Mockup Code,,No,No,No,opacity-30 + opacity-50,Low,Mockup decorative elements
Mockup Phone,,No,No,No,opacity-30 + opacity-50,Low,Mockup decorative elements
Mockup Window,,No,No,No,opacity-30 + opacity-50,Low,Mockup decorative elements
Modal,,No,No,No,None,None,No accessibility concerns
Navbar,,No,No,No,None,None,No accessibility concerns
Pagination,,No,No,No,None,None,No accessibility concerns
Progress,,No,No,No,bg-current/20,Low,Progress bar background - decorative
Radial Progress,,No,No,No,None,None,No accessibility concerns
Radio,.radio,Yes,No,No,None,Medium,20% opacity border may not meet contrast requirements
Radio,.radio (disabled),Yes,No,No,opacity-20,High,Disabled radio button - 20% opacity affects form control visibility
Range,.range,No,Yes,Yes,None,Medium,Background color for track + thumb shadows
Range,.range (disabled),No,Yes,Yes,opacity-30,High,Disabled range input - 30% opacity affects form control visibility
Rating,.rating (inactive),No,No,No,opacity-20,Low,Inactive rating stars - decorative
Scroll,,No,No,No,None,None,No accessibility concerns
Select,.select,Yes,No,Yes,None,Medium,20% opacity borders may not meet contrast requirements
Select,.select (disabled),Yes,No,Yes,text-base-content/40 + placeholder-base-content/20,High,Disabled select text 40% + placeholder 20% opacity affect readability
Skeleton,,No,No,No,None,None,No accessibility concerns
Stack,.stack layers,No,No,No,opacity-70 + opacity-90,Low,Stacked element layers - decorative
Stat,.stat,Yes,No,No,None,Low,Decorative border separators
Stat,.stat-title,Yes,No,No,text-base-content/60,Medium,Stat titles - 60% opacity may reduce readability
Stat,.stat-desc,Yes,No,No,text-base-content/60,Medium,Stat descriptions - 60% opacity may reduce readability
Status,.status,No,No,Yes,bg-base-content/20 + text-black/30,Low,Status indicator - decorative
Steps,,No,No,No,None,None,No accessibility concerns
Swap,.swap (inactive),No,No,No,opacity-0,Low,Swap animation states - decorative
Tab,.tabs-box,No,No,Yes,None,Low,Box-shadow on active tabs - decorative
Tab,.tab (inactive),No,No,Yes,text-base-content/50,Medium,Inactive tab text - 50% opacity may reduce readability
Table,.table,Yes,No,No,None,Low,Table border separators - decorative
Table,.table headers,Yes,No,No,text-base-content/60,Medium,Table headers - 60% opacity may reduce readability
Textarea,.textarea,Yes,No,Yes,None,Medium,20% opacity borders may not meet contrast requirements
Textarea,.textarea (disabled),Yes,No,Yes,text-base-content/40 + placeholder-base-content/20,High,Disabled textarea text 40% + placeholder 20% opacity affect readability
Theme Controller,,No,No,No,None,None,No accessibility concerns
Timeline,,No,No,No,None,None,No accessibility concerns
Toast,,No,No,No,None,None,No accessibility concerns
Toggle,.toggle,Yes,Yes,Yes,None,Medium,20% opacity borders + background changes on state
Toggle,.toggle (disabled),Yes,Yes,Yes,opacity-30,High,Disabled toggle - 30% opacity affects form control visibility
Tooltip,,No,No,No,None,None,No accessibility concerns
Tree,,No,No,No,None,None,No accessibility concerns
